ArrDelay,DayOfWeek,LateAircraft
25,Tues,Late
114,Fri,Late
40,Thurs,Not Late
58,Fri,Late
62,Sat,Late
18,Mon,Not Late
27,Sun,Late
51,Thurs,Late
22,Fri,Not Late
17,Sat,Not Late
55,Mon,Late
21,Thurs,Not Late
113,Sun,Not Late
19,Fri,Not Late
15,Fri,Late
31,Tues,Late
24,Mon,Not Late
35,Mon,Late
32,Mon,Not Late
42,Tues,Not Late
22,Sat,Late
34,Fri,Not Late
73,Wed,Late
32,Sun,Late
39,Wed,Late
19,Tues,Not Late
18,Sun,Late
48,Wed,Late
74,Sun,Late
78,Thurs,Not Late
30,Sun,Late
110,Sun,Not Late
35,Tues,Late
26,Fri,Late
17,Mon,Late
15,Tues,Not Late
24,Tues,Not Late
75,Thurs,Late
123,Wed,Late
241,Sun,Not Late
19,Tues,Not Late
25,Fri,Not Late
29,Sun,Late
76,Mon,Late
19,Tues,Late
75,Mon,Not Late
47,Tues,Late
16,Sat,Late
22,Wed,Late
30,Wed,Late
135,Fri,Late
15,Fri,Late
49,Wed,Late
20,Thurs,Late
24,Thurs,Late
18,Mon,Not Late
69,Mon,Not Late
278,Fri,Not Late
46,Mon,Not Late
17,Wed,Late
26,Mon,Late
52,Mon,Not Late
42,Tues,Late
62,Sun,Late
41,Wed,Not Late
107,Sun,Not Late
24,Thurs,Not Late
28,Wed,Late
100,Wed,Not Late
24,Sat,Late
24,Fri,Not Late
36,Sat,Not Late
24,Tues,Late
20,Mon,Not Late
15,Sun,Not Late
63,Wed,Not Late
16,Fri,Not Late
15,Thurs,Not Late
50,Fri,Late
246,Sat,Not Late
22,Mon,Late
47,Mon,Late
38,Thurs,Not Late
32,Wed,Late
19,Wed,Late
178,Tues,Late
67,Wed,Not Late
106,Mon,Not Late
32,Fri,Late
64,Sat,Not Late
27,Wed,Not Late
51,Sun,Not Late
31,Fri,Not Late
41,Mon,Not Late
54,Fri,Late
18,Mon,Not Late
48,Fri,Not Late
69,Thurs,Late
99,Sat,Late
68,Fri,Late
38,Mon,Late
19,Sat,Not Late
19,Sat,Not Late
43,Wed,Not Late
27,Sun,Not Late
38,Mon,Not Late
22,Sun,Not Late
74,Sat,Late
46,Wed,Late
29,Tues,Not Late
34,Fri,Late
85,Tues,Not Late
48,Fri,Not Late
22,Mon,Late
21,Fri,Not Late
105,Mon,Not Late
30,Mon,Late
74,Fri,Not Late
16,Thurs,Not Late
