TOTDAM,BODINJ,YEAR
11760,0,4
150000,0,5
2831,0,4
29863,1,4
2150000,1,1
2200,0,5
70945,0,5
1247615,1,1
2319,0,3
141512,0,4
82780,0,4
7245,0,4
86234,0,3
65000,0,4
17825000,1,1
9610,1,4
3000,0,3
136987,0,5
75857,0,4
60000,0,5
11000,1,5
13900,1,5
36467,0,4
71827,1,3
3504864,0,2
26331,1,5
186886,0,5
99396,0,5
2380,1,5
11287,0,5
19268,1,4
2500,1,5
14011,0,5
32419,0,3
63073,0,5
583600,0,5
293769,0,4
16766,0,5
2012,1,4
4143250,0,5
2472163,0,4
248280,0,5
87000,0,3
2864,0,4
362080,0,4
27000,0,5
6750,1,5
55156,0,5
16889,0,4
76523,0,6
34870,0,6
5000,1,5
200455,0,5
186327,0,5
2873,0,4
225,1,5
4500,1,5
8600,0,3
143847,0,5
29170,0,6
61593,0,4
1526495,0,4
214983,0,5
70166,0,5
18063,1,5
22611,0,5
3000,1,2
37999,0,4
7500,0,5
297028,0,5
36870,0,5
58358,0,4
737,0,5
54128,0,4
8872587,1,3
52500,0,5
50000,0,4
61556,1,4
1435,1,6
14788,0,5
127000,0,1
60000,0,5
76079,0,4
12202,0,3
2063,1,5
2706,1,4
262407,0,5
2455,0,6
473305,0,4
12500,1,4
54014,0,5
8166,1,5
43693,0,5
65541,0,5
8000,1,4
19454,1,5
63193,0,5
200000,1,3
24893,1,3
110168,1,5
7676,1,5
10084,0,4
389,0,5
79013,0,5
5600,0,5
283093,0,5
303126,0,5
20000,1,4
4896,1,3
208980,0,4
26314,0,5
17536,1,5
7725,1,5
118148,1,4
210000,1,4
217488,1,4
3339,0,5
4500,1,4
122400,0,5
9500,0,5
48173,1,3
1500,1,6
15000,1,5
1745,1,5
25000,0,5
6407,1,4
38610182,0,4
10878432,0,5
4000,1,5
19445,0,5
71500,1,4
40000,0,4
673670,0,5
40255,0,5
1551000,1,4
767149,0,4
323000,0,5
3500,0,4
213468,0,3
57513,0,5
25743,0,4
49000,0,2
387394,0,5
6623,1,5
76720,0,5
984777,1,5
18675,0,6
149807,0,5
108777,0,5
62250,0,1
