First,Last,Position,Weight,40Dash,Rating
Peter,Warrick,Wide receiver,194,4.53,9
Plaxico,Burress,Wide receiver,231,4.52,8.8
Sylvester,Morris,Wide receiver,216,4.59,8.3
Travis,Taylor,Wide receiver,199,4.36,8.1
Laveranues,Coles,Wide receiver,192,4.29,8
Dez,White,Wide receiver,218,4.49,7.9
Jerry,Porter,Wide receiver,221,4.55,7.4
Ron,Dugans,Wide receiver,206,4.47,7.1
Todd,Pinkston,Wide receiver,169,4.37,7
Dennis,Northcutt,Wide receiver,175,4.43,7
Anthony,Lucas,Wide receiver,194,4.51,6.9
Darrell,Jackson,Wide receiver,197,4.56,6.6
Danny,Farmer,Wide receiver,217,4.6,6.5
Sherrod,Gideon,Wide receiver,173,4.57,6.4
Trevor,Gaylor,Wide receiver,199,4.57,6.2
Cosey,Coleman,Guard,322,5.38,7.4
Travis,Claridge,Guard,303,5.18,7
Kaulana,Noa,Guard,317,5.34,6.8
Leander,Jordan,Guard,330,5.46,6.7
Chad,Clifton,Guard,334,5.18,6.3
Manula,Savea,Guard,308,5.32,6.1
Ryan,Johanningmeir,Guard,310,5.28,6
Mark,Tauscher,Guard,318,5.37,6
Blaine,Saipaia,Guard,321,5.25,6
Richard,Mercier,Guard,295,5.34,5.8
Damion,McIntosh,Guard,328,5.31,5.3
Jeno,James,Guard,320,5.64,5
Al,Jackson,Guard,304,5.2,5
Chris,Samuels,Offensive tackle,325,4.95,8.5
Stockar,McDougle,Offensive tackle,361,5.5,8
Chris,McIngosh,Offensive tackle,315,5.39,7.8
Adrian,Klemm,Offensive tackle,307,4.98,7.6
Todd,Wade,Offensive tackle,326,5.2,7.3
Marvel,Smith,Offensive tackle,320,5.36,7.1
Michael,Thompson,Offensive tackle,287,5.05,6.8
Bobby,Williams,Offensive tackle,332,5.26,6.8
Darnell,Alford,Offensive tackle,334,5.55,6.4
Terrance,Beadles,Offensive tackle,312,5.15,6.3
Tutan,Reyes,Offensive tackle,299,5.35,6.1
Greg,Robinson-Ran,Offensive tackle,333,5.59,6
