Shrt_Desc,Energy,Water,Choles
"TOMATOES,RED,RIPE,CND,PACKED IN TOMATO JUC",17,4,0
"CHICKEN,BROILERS OR FRYERS,FAT,RAW",629,2,1
"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN&FAT,RAW",189,3,1
"MCDONALD'S,NEWMAN'S OWN LOFAT BALSAMIC VINAIGRETTE",86,3,0
"INF FORM,ME JOHNS,ENFAM,LIP,LO IRON,LIQ CONC,W/ ARA & DHA",131,4,1
"BEEF,TOP SIRLOIN,LN,1/8FAT,SEL,RAW",127,3,1
"BABYFOOD,PRUNES,WO/VIT C,STR",101,3,0
"BEEF,CHUCK,TOP BLADE,LN & FAT,1/4 FAT,ALLGRDS,RAW",149,3,1
"BABYFOOD,CEREAL,RICE,DRY",391,1,0
"OSCAR MAYER,WIENERS (BEEF FRANKS)",327,3,1
"CARB BEV,LO CAL,OTHR THN COLA OR PEPPER,W/ ASPRT,CONTNS CAFF",0,4,0
"OSCAR MAYER,HAM (H2O ,HONEY)",111,3,1
"VEAL,LEG (TOP RND),LN,CKD,PAN-FRIED,BREADED",216,3,1
"SAUCE,CHS,RTS",174,3,1
"CEREALS RTE,MALT-O-MEAL,HONEY NUT TOASTY O'S CRL",390,1,0
"JELLYFISH,DRIED,SALTED",36,3,1
"SALAD DRSNG,ITALIAN DRSNG,COMM,REG",291,3,0
"WHIPPED TOPPING,FRZ,LOFAT",224,3,1
"KENTUCKY FRIED CHICK,ORIGINAL RECIPE,DRUMSTK,MEAT & SKN",245,3,1
"CARIBOU,HIND QUARTER MEAT,RAW (ALASKA NATIVE)",122,3,1
"CAKE,WHITE,PREP FROM RECIPE W/COCNT FRSTNG",356,1,1
"BABYFOOD,VEG,PEAS,STR",50,4,0
"CANDIES,YORK BITES",394,1,1
"BEEF,RND,BTTM RND,LN,0\FAT,CHOIC,CKD,BRSD""",223,3,1
"COCOA,DRY PDR,UNSWTND,PROC W/ALKALI",222,1,0
"BEEF,RND,TIP RND,LN&FAT,1/8\FAT,SEL,CKD,RSTD""",210,3,1
"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,FLR",269,3,1
"WHEY,ACID,DRIED",339,1,1
"SPORTS DRK,COCA-COLA,POWERADE,LEMON-LIME FLAV,RTD",32,4,0
"FROZEN NOVELTIES,ICE TYPE,POP,W/ LO CAL SWTNR",24,4,0
"DANISH PASTRY,CHEESE",374,2,1
"OSCAR MAYER,SMMR SAUSAGE BF THURINGER CERVELAT",309,3,1
"FAST FOODS,CHEESEBURGER; SINGLE,REG PATTY,W/ CONDMNT",270,2,1
"SYRUPS,TABLE BLENDS,PANCAKE,W/2% MAPLE",265,2,0
"GAME MEAT,DEER,LOIN,LN,1STEAK,CKD,BRLD",150,3,1
"PUMPKIN&SQUASH SD KRNLS,DRIED",541,1,0
"MACARONI,DRY,ENR",371,1,0
"PORK,CURED,HAM W/ NAT JUICES,SLICE,BONE-IN,LN,UNHTD",123,3,1
BOCKWURST  PORK  VEAL  RAW,301,3,1
"DESSERTS,EGG CUSTARD,BKD,PREPARED-FROM-RECIPE",105,4,1
"JUTE,POTHERB,CKD,BLD,DRND,W/SALT",37,4,0
"BEEF,RND,BTTM RND RST,LN,0FAT,SEL,CKD,RSTD",169,3,1
"FROZ NOVLT,ICE CRM,VAN ICE CRM,LT,NO SUGAR ADDED,CHOC COATD",226,3,1
"CANDIES,PRALINE,PREPARED-FROM-RECIPE",485,1,0
"CHEESE,COTTAGE,W/VEG",95,4,1
"CEREALS,QUAKER,INST OATMEAL,BKD APPL,PREP W/ BOILING H2O",96,4,0
"POTATOES,FR FR,CRNKL OR REG,SALT ADDED IN PROC,FRZ,AS PURCH",174,3,0
"MCDONALD'S,BIG 'N TASTY W/ CHS",232,3,1
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,RSTD",232,3,1
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318,2,1
"SALAD DRSNG,BACON&TOMATO",326,3,1
"COOKIES,CHOC SNDWCH,W/CREME FILLING,REG",466,1,0
"SWEET POTATO,CKD,BKD IN SKN,W/ SALT",92,4,0
"SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,WO/SALT",34,4,0
"ROLLS,PUMPERNICKEL",277,2,0
"CORNMEAL,DEGERMED,UNENR,WHITE",369,1,0
"PEPPER,RED OR CAYENNE DEEP DISH CRUST",318,1,0
"LITTLE CAESARS 14 CHSPIZZA,LRG",263,2,1
"SPICES,OREGANO,DRIED",306,1,0
RICE & WHEAT CRL BAR,409,1,0
"SHORTENING,INSTITUTIONAL,COMP",894,1,0
"SAUSAGE,MEATLESS",257,3,0
"CEREALS RTE,QUAKER,QUAKER SWT PUFFS",391,1,0
"SOUP,BLACK BEAN,CND,COND",91,4,0
"BUTTER-MARGARINE BLEND,STK,UNSALTED",718,1,1
"HEADCHEESE,PORK",157,3,1
"BABYFOOD,JUC,FRUIT PUNCH,W/CA",52,4,0
"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT",27,4,0
"SPINACH,CND,DRND SOL",23,4,0
"ONIONS,YOUNG GRN,TOPS ONLY",25,4,0
"MARGARINE,REG,LIQ,SOYBN (HYDR&REG)&CTTNSD",721,1,0
"PASTA W/SLICED FRANKS IN TOMATO SAU,CND ENTREE",104,4,1
"BEEF,RND,TIP RND,LN,0 FAT,ALL GRDS,CKD,RSTD",174,3,1
"BEEF,CHUCK,MOCK TENDER STK,LN,1/4 FAT,USDA SEL, RAW",109,4,1
"BABYFOOD,PEAS,DICES,TODD",64,4,0
"CHEESE,MONTEREY",373,2,1
"BREAD,WHEAT BRAN",248,2,0
"SOYMILK,ORIGINAL & VANILLA,W/ ADDED CALCUM,VITAMINS A & D",43,4,0
"BEEF,RND,TIP RND,LN & FAT,0FAT,ALLGRDS,RAW",151,3,1
"PORK,FRSH,LOIN,SIRLOIN (CHOPS),BONE-IN,LN,CKD,BRLD",213,3,1
"MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",19,4,0
"BEEF,LOIN,T-BONE STEAK,LN & FAT,0 FAT,USDA CHOIC,CKD,BRLD",258,3,1
"EEL,MIXED SPECIES,RAW",184,3,1
"BRUSSELS SPROUTS,RAW",43,4,0
"OSTRICH,INSIDE STRIP,CKD",164,3,1
"PIZZA HUT 12 SUPER SUPREME PIZZA,REG CRUST",243,3,1
"POTATO CHIPS,PLAIN,SALTED",547,1,0
"SALAD DRSNG,RUSSIAN DRSNG",355,2,0
"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,PREP W/ EQ VOLUME H2O",35,4,1
"MARGARINE,REG,HARD,SUNFLOWER&SOYBN (HYDR)&CTTNSD (HYDR)",719,1,0
"BEEF,CHUCK,CLOD STEAK,LN & FAT,0FAT,USDA SEL,CKD,BRSD",205,3,1
"CEREALS RTE,WHEAT&MALT BARLEY FLAKES",365,1,0
"PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN,CKD,BRSD",233,3,1
"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE)",248,3,1
"FAST FOODS,BAGEL,W/ BRKFST STEAK,EGG,CHS,& CONDMNT",282,2,1
"BEEF,TENDERLOIN,LN&FAT,1/8\FAT,CHOIC,RAW""",246,3,1
"BEEF,PLATE,OUTSIDE SKIRT,LN & FAT,1/4 FAT,ALL GRDS,RAW",204,3,1
"COCOA,DRY PDR,HI-FAT OR BRKFST,PLN",299,1,0
"MCDONALD'S,NEWMAN'S OWN RANCH DRSNG",313,3,1
"CHICKEN,MEATLESS,BREADED,FRIED",234,3,0
"FIGS,RAW",74,4,0
"BEEF,GROUND,70% LN MEAT / 30% FAT,RAW",332,3,1
"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0\FAT,ALL GRDS,CKD,BRLD",249,3,1
"POTATOES,MSHD,HOME-PREPARED,WHL MILK & BUTTER ADDED",113,4,1
"CEREALS READY TO EAT,CHARACTER CEREALS (MOVIES,TV),BRAND A",389,1,0
"TURKEY,ALL CLASSES,DK MEAT,CKD,RSTD",187,3,1
"PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN&FAT,CKD,PAN-FRIED",342,2,1
"TOASTER PASTRIES,KELLOGG,KELLOGG'S POPTARTS,CHERRY",393,1,0
"BEEF,RND,EYE OF RND RST,LN,1/8 FAT,SEL,CKD,RSTD",163,3,1
"EGG,WHOLE,DRIED",594,1,1
"BLUEBERRIES,FRZ,UNSWTND",51,4,0
"BLACKBERRIES,RAW",43,4,0
"VEAL,SHLDR,ARM,LN&FAT,RAW",132,3,1
"PEACHES,RAW",39,4,0
"ICE CREAMS,VANILLA",201,3,1
"MILK,CND,EVAP,NONFAT",78,4,1
"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,DRY",374,1,0
"PORK,FRSH,LOIN,TOP LOIN (CHOPS),BNLESS,LN & FAT,CKD,BRLD",197,3,1
"MARGARINE,INDUS,NON-DAIRY,CTTNSD,SOY OIL (PART HYDR )",714,1,0
"CEREALS RTE,QUAKER,TSTD OATS/OATMMM'S",380,1,0
"OSCAR MAYER,HAM (CHOPPED W/ NAT JUICE)",180,3,1
"KOHLRABI,RAW",27,4,0
"STEELHEAD TROUT,DRIED,FLESH (SHOSHONE BANNOCK)",382,1,1
"FAT,TURKEY",900,1,1
"RASPBERRIES,RAW",52,4,0
"HADDOCK,SMOKED",116,3,1
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,STWD",249,3,1
"TOASTER PASTRIES,KELLOGG,KELLOGG'S POP TARTS,S'MORES",392,1,0
"WHISKEY SOUR MIX,PDR",383,1,0
"SHORTENING BREAD,SOYBN (HYDR)&CTTNSD",884,1,0
"SOUP,CLAM CHOWDER,NEW ENG,CND,PREP W/ EQ VLM LOFAT (2%) MILK",61,4,1
"KENTUCKY FRIED CHICK,BISCUIT,ANALYZED PRIOR TO JANUARY 2007",356,2,1
"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,STR",68,4,1
"LOUIS RICH,TURKEY SALAMI COTTO",149,3,1
"BEEF,TENDERLOIN,LN,1/8 FAT,SEL,CKD,BRLD",194,3,1
"EGG SUBSTITUTE,FROZEN",160,3,1
"BABYFOOD,APPLS,DICES,TODD",51,4,0
"CEREALS,QUAKER,INST OATMEAL,MAPLE & BROWN SUGAR,DRY",366,1,0
"BAGELS,OAT BRAN",255,2,0
"POTATOES,MSHD,DEHYD,PREP FROM GRAN W/ MILK,H2O & MARG ADDED",116,4,1
"BEEF,PLATE,INSIDE SKIRT STEAK,LN ONLY,1/4 FAT,ALL GRDS,RAW",164,3,1
"EGG,YOLK,DRIED",666,1,1
"BEEF,CORNED BF HASH,W/ POTATO,CND",164,3,1
"BF,CHUCK,CLOD,TOP & CNTR,STEAK,LN & FAT,0 FAT,ALL GRDS,RAW",141,3,1
"COFFEE,INST,W/ CHICORY,PREP W/ H2O",3,4,0
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,CKD,STWD",192,3,1
"BEEF,RIB,SML END (RIBS 10-12),LN,1/8 FAT,CHOIC,RAW",148,3,1
"TURKEY,GIZZARD,ALL CLASSES,RAW",118,4,1
"CEREALS RTE,KRAFT,POST GOLDEN CRISP CRL",398,1,0
"BEEF,TENDERLOIN,LN,1/8 FAT,ALL GRDS,RAW",152,3,1
BANANA CHIPS,519,1,0
"FRUIT COCKTAIL,CND,HVY SYRUP,SOL&LIQUIDS",73,4,0
"CEREALS,QUAKER,HOMINY GRITS,YEL,QUICK,DRY",337,1,0
"CANDIES,SWT CHOC COATD FONDANT",366,1,0
"CARROT,DEHYDRATED",341,1,0
"FLATFISH (FLOUNDER&SOLE SP),CKD,DRY HEAT",117,3,1
"BEEF,SNDWCH STEAKS,FLAKED,CHOPD,FORMED & THINLY SLICED,RAW",309,3,1
"Snacks, soy chips or crisps, salted",376,1,0
"TURKEY,LT OR DK MEAT,SMOKED,CKD,SKN & BONE REMOVED",170,3,1
"POKEBERRY SHOOTS,(POKE),CKD,BLD,DRND,WO/SALT",20,4,0
"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR",71,4,0
