shares,videos,channel
1100,0,SocialMedia
1400,0,SocialMedia
4300,0,SocialMedia
479,0,SocialMedia
2500,0,SocialMedia
1200,0,SocialMedia
24500,0,SocialMedia
1200,0,SocialMedia
1500,0,SocialMedia
1400,1,SocialMedia
1800,2+,SocialMedia
1400,1,SocialMedia
1200,0,SocialMedia
1000,0,SocialMedia
1800,0,SocialMedia
1100,0,SocialMedia
2900,0,SocialMedia
2000,2+,SocialMedia
23600,2+,SocialMedia
3600,1,SocialMedia
2600,0,SocialMedia
1800,1,SocialMedia
1400,2+,SocialMedia
5300,0,SocialMedia
8600,0,SocialMedia
1400,2+,SocialMedia
4300,0,SocialMedia
2400,0,SocialMedia
1100,2+,SocialMedia
3000,0,SocialMedia
2800,1,SocialMedia
6400,0,SocialMedia
1600,2+,SocialMedia
5000,1,SocialMedia
824,0,SocialMedia
2300,0,SocialMedia
1600,1,SocialMedia
3700,1,SocialMedia
3600,0,SocialMedia
2600,0,SocialMedia
731,0,SocialMedia
41900,1,SocialMedia
3500,0,SocialMedia
1700,2+,SocialMedia
3600,0,SocialMedia
6800,0,SocialMedia
4700,2+,SocialMedia
12200,0,SocialMedia
2500,0,SocialMedia
1800,2+,SocialMedia
4800,2+,SocialMedia
2500,0,SocialMedia
1100,0,SocialMedia
518,1,SocialMedia
1500,1,SocialMedia
2700,0,SocialMedia
28800,0,SocialMedia
1300,0,SocialMedia
9000,0,SocialMedia
3400,0,SocialMedia
2300,1,SocialMedia
4900,0,SocialMedia
1900,0,SocialMedia
1400,1,SocialMedia
30200,0,SocialMedia
1100,1,SocialMedia
2200,0,SocialMedia
5000,2+,SocialMedia
1700,0,SocialMedia
1500,0,SocialMedia
772,2+,Business
725,1,Entertainment
698,0,Tech
36900,2+,Other
1200,0,Tech
2200,0,Other
1500,2+,Other
2000,0,Tech
14500,0,Other
4800,0,Business
3000,2+,Business
713,1,World
1600,0,Other
902,0,World
7000,1,SocialMedia
962,0,Business
1700,0,Lifestyle
2200,2+,Other
